"Identyfikator Produktu (ID)";"Nazwa produktu";"Kod produktu";"Kod kreskowy EAN-13 lub JAN";"Ilość";"Attribute KOLOR";"Attribute ROZMIAR";"Kod referencyjny kombinacji";"Kod kreskowy EAN-13 lub JAN kombinacji"
"10652";"Kurtka damska Pikeur Benja oliwkowa 2019";"BENJA 4860/34 2019";"4060795794689";"0";"oliwkowy";"42";"BENJA 4860/42 2019";"4060795794726"
"10652";"Kurtka damska Pikeur Benja oliwkowa 2019";"BENJA 4860/34 2019";"4060795794689";"2";"oliwkowy";"38";"BENJA 4860/38 2019";"4060795794702"
"10653";"Kurtka damska Pikeur Marit pomarańczowa 2019";"MARIT 4822/36 2019";"4060795794047";"0";"pomarańczowy";"36";"MARIT 4822/36 2019";"4060795794047"
"10653";"Kurtka damska Pikeur Marit pomarańczowa 2019";"MARIT 4822/36 2019";"4060795794047";"1";"pomarańczowy";"38";"MARIT 4822/38 2019";"4060795794054"
"10653";"Kurtka damska Pikeur Marit pomarańczowa 2019";"MARIT 4822/36 2019";"4060795794047";"2";"pomarańczowy";"34";"MARIT 4822/34 2019";"4060795794030"
"10655";"Derka siatkowa z odpinanym kapturem Busse Belly Cover Zebra";"603141.T30.164.";"4026107393834";"2";"zebra";"155 cm";"603141.T30.164.";"4026107393834"
"10655";"Derka siatkowa z odpinanym kapturem Busse Belly Cover Zebra";"603141.T30.164.";"4026107393834";"3";"zebra";"145 cm";"603141.T30.154.";"4026107393827"
"10655";"Derka siatkowa z odpinanym kapturem Busse Belly Cover Zebra";"603141.T30.164.";"4026107393834";"2";"zebra";"135 cm";"603141.T30.144.";"4026107393810"
"10655";"Derka siatkowa z odpinanym kapturem Busse Belly Cover Zebra";"603141.T30.164.";"4026107393834";"1";"zebra";"135 cm";"603601.T30.144.";"4026107387017"
"10655";"Derka siatkowa z odpinanym kapturem Busse Belly Cover Zebra";"603141.T30.164.";"4026107393834";"1";"zebra";"155 cm";"603601.T30.164.";"4026107387031"
"10655";"Derka siatkowa z odpinanym kapturem Busse Belly Cover Zebra";"603141.T30.164.";"4026107393834";"1";"zebra";"145 cm";"603601.T30.154.";"4026107387024"
"10655";"Derka siatkowa z odpinanym kapturem Busse Belly Cover Zebra";"603141.T30.164.";"4026107393834";"1";"zebra";"115 cm";"603601.T30.124.";"4026107386997"
"10655";"Derka siatkowa z odpinanym kapturem Busse Belly Cover Zebra";"603141.T30.164.";"4026107393834";"0";"zebra";"125 cm";"603601.T30.134.";"4026107387000"
"10655";"Derka siatkowa z odpinanym kapturem Busse Belly Cover Zebra";"603141.T30.164.";"4026107393834";"1";"zebra";"165 cm";"603601.T30.174.";"4026107387048"
"10655";"Derka siatkowa z odpinanym kapturem Busse Belly Cover Zebra";"603141.T30.164.";"4026107393834";"1";"zebra";"125 cm";"603141.T30.134.";"4026107393803"
"10657";"Bezrękawnik damski Pikeur Hanny srebrny 2019";"HANNY 4816/34 2019";"4060795792630";"0";"srebrny";"34";"HANNY 4816/34 2019";"4060795792630"
"10657";"Bezrękawnik damski Pikeur Hanny srebrny 2019";"HANNY 4816/34 2019";"4060795792630";"0";"srebrny";"36";"HANNY 4816/36 2019";"4060795792647"
"10657";"Bezrękawnik damski Pikeur Hanny srebrny 2019";"HANNY 4816/34 2019";"4060795792630";"1";"srebrny";"38";"HANNY 4816/38 2019";"4060795792654"
