"Identyfikator Produktu (ID)";"Nazwa produktu";"Kod referencyjny kombinacji";"Kod kreskowy EAN-13 lub JAN kombinacji";"Ilość";"Attribute KOLOR";"Attribute ROZMIAR"
"150";"Chapsy Elastic Hippica Czarne";"CHAPSY ELASTIC CZ XXS";"5901646945227";"4";"czarny";"XXS"
"150";"Chapsy Elastic Hippica Czarne";"CHAPSY ELASTIC CZ XXXM";"5901646945241";"2";"czarny";"XXXM"
"150";"Chapsy Elastic Hippica Czarne";"CHAPSY ELASTIC CZ XXXS";"5901646945258";"2";"czarny";"XXXS"
"150";"Chapsy Elastic Hippica Czarne";"CHAPSY ELASTIC CZ LXXXX";"5901646945081";"1";"czarny";"LXXXX"
"153";"Chapsy oficerkowe czarne Hippica";"CHAPSY OFICERKOWE CZ 37/31";"5901646945319";"3";"czarny";"37/31"
"153";"Chapsy oficerkowe czarne Hippica";"CHAPSY OFICERKOWE CZ 37/35";"5901646945333";"2";"czarny";"37/35"
"153";"Chapsy oficerkowe czarne Hippica";"CHAPSY OFICERKOWE CZ 37/37";"5901646945340";"3";"czarny";"37/37"
"153";"Chapsy oficerkowe czarne Hippica";"CHAPSY OFICERKOWE CZ 37/39";"5901646945357";"2";"czarny";"37/39"
"153";"Chapsy oficerkowe czarne Hippica";"CHAPSY OFICERKOWE CZ 37/41";"5901646945364";"2";"czarny";"37/41"
"153";"Chapsy oficerkowe czarne Hippica";"CHAPSY OFICERKOWE CZ 40/31";"5901646945371";"2";"czarny";"40/31"
"153";"Chapsy oficerkowe czarne Hippica";"CHAPSY OFICERKOWE CZ 40/33";"5901646945388";"2";"czarny";"40/33"
"153";"Chapsy oficerkowe czarne Hippica";"CHAPSY OFICERKOWE CZ 40/35";"5901646945395";"2";"czarny";"40/35"
"153";"Chapsy oficerkowe czarne Hippica";"CHAPSY OFICERKOWE CZ 40/37";"5901646945401";"2";"czarny";"40/37"
"153";"Chapsy oficerkowe czarne Hippica";"CHAPSY OFICERKOWE CZ 40/39";"5901646945418";"2";"czarny";"40/39"
"153";"Chapsy oficerkowe czarne Hippica";"CHAPSY OFICERKOWE CZ 40/41";"5901646944671";"2";"czarny";"40/41"
"153";"Chapsy oficerkowe czarne Hippica";"CHAPSY OFICERKOWE CZ 43/33";"5901646945425";"1";"czarny";"43/33"
"153";"Chapsy oficerkowe czarne Hippica";"CHAPSY OFICERKOWE CZ 43/35";"5901646945432";"0";"czarny";"43/35"
"153";"Chapsy oficerkowe czarne Hippica";"CHAPSY OFICERKOWE CZ 43/37";"5901646945449";"2";"czarny";"43/37"
"153";"Chapsy oficerkowe czarne Hippica";"CHAPSY OFICERKOWE CZ 43/39";"5901646945456";"0";"czarny";"43/39"
"153";"Chapsy oficerkowe czarne Hippica";"CHAPSY OFICERKOWE CZ 43/41";"5901646945463";"3";"czarny";"43/41"
"153";"Chapsy oficerkowe czarne Hippica";"CHAPSY OFICERKOWE CZ 43/43";"5901646945470";"2";"czarny";"43/43"
"153";"Chapsy oficerkowe czarne Hippica";"CHAPSY OFICERKOWE CZ 37/33";"5901646945326";"2";"czarny";"37/33"
"154";"Chapsy Roma Hippica brąz";"CHAPSY ROMA BR L";"5901646945494";"1";"brązowy";"L"
"154";"Chapsy Roma Hippica brąz";"CHAPSY ROMA BR LX";"5901646945500";"3";"brązowy";"LX"
"154";"Chapsy Roma Hippica brąz";"CHAPSY ROMA BR LXX";"5901646945517";"1";"brązowy";"LXX"
"154";"Chapsy Roma Hippica brąz";"CHAPSY ROMA BR LXXX";"5901646945524";"0";"brązowy";"LXXX"
"154";"Chapsy Roma Hippica brąz";"CHAPSY ROMA BR M";"5901646945531";"2";"brązowy";"M"
"154";"Chapsy Roma Hippica brąz";"CHAPSY ROMA BR MX";"5901646945548";"2";"brązowy";"MX"
"154";"Chapsy Roma Hippica brąz";"CHAPSY ROMA BR MXX";"5901646945555";"2";"brązowy";"MXX"
"154";"Chapsy Roma Hippica brąz";"CHAPSY ROMA BR S";"5901646945562";"0";"brązowy";"S"
"154";"Chapsy Roma Hippica brąz";"CHAPSY ROMA BR SX";"5901646945579";"2";"brązowy";"SX"
"154";"Chapsy Roma Hippica brąz";"CHAPSY ROMA BR SXX";"5901646945586";"2";"brązowy";"SXX"
"154";"Chapsy Roma Hippica brąz";"CHAPSY ROMA BR XL";"5901646945609";"1";"brązowy";"XL"
"154";"Chapsy Roma Hippica brąz";"CHAPSY ROMA BR XM";"5901646945616";"3";"brązowy";"XM"
"154";"Chapsy Roma Hippica brąz";"CHAPSY ROMA BR XS";"5901646945623";"3";"brązowy";"XS"
"154";"Chapsy Roma Hippica brąz";"CHAPSY ROMA BR XXL";"5901646945630";"1";"brązowy";"XXL"
"154";"Chapsy Roma Hippica brąz";"CHAPSY ROMA BR XXM";"5901646945647";"3";"brązowy";"XXM"
"154";"Chapsy Roma Hippica brąz";"CHAPSY ROMA BR XXS";"5901646945654";"1";"brązowy";"XXS"
"154";"Chapsy Roma Hippica brąz";"CHAPSY ROMA BR XXXL";"5901646945661";"1";"brązowy";"XXXL"
"154";"Chapsy Roma Hippica brąz";"CHAPSY ROMA BR XXXM";"5901646945678";"1";"brązowy";"XXXM"
"154";"Chapsy Roma Hippica brąz";"CHAPSY ROMA BR XXXS";"5901646945685";"1";"brązowy";"XXXS"
"154";"Chapsy Roma Hippica brąz";"CHAPSY ROMA BR SXXX";"5901646945593";"0";"brązowy";"SXXX"
"155";"Chapsy Roma Hippica czarne";"CHAPSY ROMA CZ L";"5901646944510";"3";"czarny";"L"
"155";"Chapsy Roma Hippica czarne";"CHAPSY ROMA CZ LX";"5901646945746";"3";"czarny";"LX"
"155";"Chapsy Roma Hippica czarne";"CHAPSY ROMA CZ LXX";"5901646945753";"4";"czarny";"LXX"
"155";"Chapsy Roma Hippica czarne";"CHAPSY ROMA CZ LXXX";"5901646945760";"1";"czarny";"LXXX"
"155";"Chapsy Roma Hippica czarne";"CHAPSY ROMA CZ M";"5901646945784";"4";"czarny";"M"
"155";"Chapsy Roma Hippica czarne";"CHAPSY ROMA CZ MX";"5901646945791";"4";"czarny";"MX"
"155";"Chapsy Roma Hippica czarne";"CHAPSY ROMA CZ MXX";"5901646945807";"3";"czarny";"MXX"
"155";"Chapsy Roma Hippica czarne";"CHAPSY ROMA CZ S";"5901646944527";"5";"czarny";"S"
"155";"Chapsy Roma Hippica czarne";"CHAPSY ROMA CZ SX";"5901646945814";"3";"czarny";"SX"
"155";"Chapsy Roma Hippica czarne";"CHAPSY ROMA CZ SXX";"5901646945821";"2";"czarny";"SXX"
"155";"Chapsy Roma Hippica czarne";"CHAPSY ROMA CZ SXXX";"5901646945838";"2";"czarny";"SXXX"
"155";"Chapsy Roma Hippica czarne";"CHAPSY ROMA CZ XL";"5901646945845";"2";"czarny";"XL"
"155";"Chapsy Roma Hippica czarne";"CHAPSY ROMA CZ XM";"5901646945852";"2";"czarny";"XM"
"155";"Chapsy Roma Hippica czarne";"CHAPSY ROMA CZ XS";"5901646943407";"2";"czarny";"XS"
"155";"Chapsy Roma Hippica czarne";"CHAPSY ROMA CZ XXL";"5901646945869";"3";"czarny";"XXL"
"155";"Chapsy Roma Hippica czarne";"CHAPSY ROMA CZ XXM";"5901646945876";"5";"czarny";"XXM"
"155";"Chapsy Roma Hippica czarne";"CHAPSY ROMA CZ XXS";"5901646945883";"0";"czarny";"XXS"
"155";"Chapsy Roma Hippica czarne";"CHAPSY ROMA CZ XXXL";"5901646945890";"3";"czarny";"XXXL"
"155";"Chapsy Roma Hippica czarne";"CHAPSY ROMA CZ XXXM";"5901646945906";"1";"czarny";"XXXM"
"155";"Chapsy Roma Hippica czarne";"CHAPSY ROMA CZ XXXS";"5901646945913";"0";"czarny";"XXXS"
"155";"Chapsy Roma Hippica czarne";"CHAPSY ROMA CZ XXXXS";"5901646945920";"0";"czarny";"XXXXS"
"155";"Chapsy Roma Hippica czarne";"CHAPSY ROMA CZ LXXXX";"5901646945777";"1";"czarny";"LXXXX"
"155";"Chapsy Roma Hippica czarne";"CHAPSY ROMA CZ 37/33 03";"5901646945715";"1";"czarny";"03-37/33"
"155";"Chapsy Roma Hippica czarne";"CHAPSY ROMA CZ 37/35 04";"5901646945722";"6";"czarny";"04-37/35"
"155";"Chapsy Roma Hippica czarne";"CHAPSY ROMA CZ 37/37 05";"5901646945739";"2";"czarny";"05-37/37"
"155";"Chapsy Roma Hippica czarne";"CHAPSY ROMA CZ 37/31 02";"5901646945708";"2";"czarny";"02-37/31"
"155";"Chapsy Roma Hippica czarne";"CHAPSY ROMA CZ 37/29 01";"5901646945692";"1";"czarny";"01-37/29"
"155";"Chapsy Roma Hippica czarne";"CHAPSY ROMA CZ 34/31";"5901646951983";"0";"czarny";"34/31"
"156";"Chapsy Windsor Hippica czarne";"CHAPSY WINDSOR CZ L";"5901646945951";"1";"czarny";"L"
"156";"Chapsy Windsor Hippica czarne";"CHAPSY WINDSOR CZ SXXX";"5901646945968";"0";"czarny";"SXXX"
"166";"Czapka Pikeur NG & j.fioletowa";"";"";"1";"";""
"169";"Czapka termoaktywna Galla różowa";"0004154 RÓŻ";"5901646927179";"1";"różowy";""
"169";"Czapka termoaktywna Galla różowa";"0004154 RÓŻ";"5901646927179";"1";"różowy";""
