id_product;name;reference;price;active;shopname;id_shop_default;id_image;name_category;price_final;is_virtual;nb_downloadable;sav_quantity;badge_danger;
"181";"Czapsy FP Prestige czarne";"09018001000-L";"145.528455";"0";"Pegaz";"1";"";"Chapsy syntetyczne";"0";"0";"";"0";"1";
"183";"Czapsy Horze skórzane czarne";"37248-BL";"210.569106";"0";"Pegaz";"1";"163";"Czapsy skórzane licowe";"0";"0";"";"0";"1";
"184";"Czapsy Horze skórzane miękkie czarne";"37246-BL-L";"166.666667";"0";"Pegaz";"1";"21556";"Czapsy skórzane licowe";"0";"0";"";"0";"1";
"185";"Czapsy Start Amara czarne";"01629-001190301/BK-10";"52.845528";"0";"Pegaz";"1";"28693";"Chapsy syntetyczne";"0";"0";"";"0";"1";
"186";"Frak damski Pikeur Davita czarny";"DAVITA 525-38";"438.211382";"0";"Pegaz";"1";"21558";"Fraki";"0";"0";"";"0";"1";
"187";"Frak damski Pikeur Galdina granatowy";"02181-GALDINA 434-36";"1462.601626";"0";"Pegaz";"1";"28801";"Fraki";"0";"0";"";"0";"1";
"189";"Frak damski Pikeur Skarlett czarny";"02185-SKARLETT 695-72";"478.861789";"0";"Pegaz";"1";"28807";"Fraki";"0";"0";"";"0";"1";
"190";"Frak HKM Champagne softshell granatowy";"45916900-36";"260.162602";"0";"Pegaz";"1";"";"Fraki";"0";"0";"";"0";"1";
"191";"Frak HKM Global Team granatowy";"54716900-128";"284.552846";"0";"Pegaz";"1";"21561";"Fraki";"0";"0";"";"0";"1";
"192";"Frak HKM Global Team granatowy";"54716900-38";"284.552846";"0";"Pegaz";"1";"176";"Fraki";"0";"0";"";"0";"1";
"193";"Frak HKM Seaside granatowy";"53726900-38";"439.024390";"0";"Pegaz";"1";"48200";"Fraki";"0";"0";"";"0";"1";
"194";"Frak HKM Soft Powder granatowy";"80736900-34";"357.723577";"0";"Pegaz";"1";"21822";"Fraki";"0";"0";"";"0";"1";
"195";"Frak Horseware softshell czarny L";"15876";"300.000000";"0";"Pegaz";"1";"";"Fraki";"0";"0";"";"0";"1";
"197";"Frak Horze Haven czarny";"33083-BL-146/152";"324.390244";"0";"Pegaz";"1";"182";"Fraki";"0";"0";"";"0";"1";
"199";"Frak Kerbl- Covalliero Corrada granatowy";"3284d";"267.479675";"0";"Pegaz";"1";"185";"Fraki";"0";"0";"";"0";"1";
"200";"Frak Kerbl- Covalliero Corrada granatowy";"328491-S";"267.479675";"0";"Pegaz";"1";"21565";"Fraki";"0";"0";"";"0";"1";
"201";"Frak męski Pikeur Delgado";"02215-DELGADO 585-48";"730.894309";"0";"Pegaz";"1";"28811";"Fraki";"0";"0";"";"0";"1";
"202";"Frak Pikeur Branca czarny";"02216-BRANCA 2807-34";"841.463415";"0";"Pegaz";"1";"28813";"Fraki";"0";"0";"";"0";"1";
"203";"Frak Pikeur Gaston II softshell granatowy";"02224-GASTON II 459-48";"1381.300813";"0";"Pegaz";"1";"28814";"Fraki";"0";"0";"";"0";"1";
"204";"Frak Pikeur Ghia II softshell granatowy";"02226-GHIA II 459-36";"1154.471545";"0";"Pegaz";"1";"28820";"Fraki";"0";"0";"";"0";"1";
"205";"Frak Pikeur Gitana czarny";"02227-GITANA 2807-36";"893.495935";"0";"Pegaz";"1";"28822";"Fraki";"0";"0";"";"0";"1";
"206";"Frak Pikeur Gotha softshell czarny";"02229-GOTHA 435-36";"991.056911";"0";"Pegaz";"1";"28825";"Fraki";"0";"0";"";"0";"1";
